SampleID,Intensity ,Concentration,Location,Replicate
CalibBlank,-64.34663978,NA,NA,NA
1 ppm,2971.579104,NA,NA,NA
10 ppm,139693.3266,NA,NA,NA
100 ppm,23.56602861,NA,NA,NA
1 (Griffith 5),4549.317948,NA,Griffith,5
2 (Griffith 1),7697.452545,55.44755457,Griffith,1
3 (Griffith 4),5234.758672,37.70787353,Griffith,4
4 (Jumpa 1),1542.801099,11.1133583,Jurupa,1
5 (CUC 5),1432.313042,10.31747258,CUC,5
6 (Marston 5),7687.284689,55.37431179,Marston,5
7 (Cahuilla 1),3792.150918,27.3162444,Cahuilla,1
8 (Griffith 3),6357.117788,45.79263508,Griffith,3
9 (CUC 4),2611.597388,18.81228729,CUC,4
10 (Blaisdell 2),5177.358048,37.29439593,Blaisdell,2
11 (Bryant 2),2733.687085,19.69174385,Bryant,2
12 (Blaisdell 4),8211.926725,59.15349948,Blaisdell,4
13 (Cahuilla 3),6241.714608,44.96134393,Cahuilla,3
14 (Bryant 5),9773.142779,70.39950741,Bryant,5
15 (CUC 1),477.9180257,3.442617626,CUC,1
16 (Griffith 2),7117.508858,51.27000894,Griffith,2
17 (Bryant 1),4484.722085,32.30508679,Bryant,1
18 (Blaisdell 3),6476.973566,46.65599991,Blaisdell,3
19 (Blaisdell 5),4927.407912,35.49391405,Blaisdell,5
20 (Cahuilla 4),7985.749792,57.52426465,Cahuilla,4
21 (Cahuilla 2),2184.991154,15.73928719,Cahuilla,2
22 (Mystery Sample),4492.552316,32.36149079,NA,NA
23 (Marston 1),6102.664386,43.95971453,Marston,1
24 (Marston 2),5238.442854,37.73441203,Marston,2
25 (Jumpa 5),1506.009788,10.84833708,Jurupa,5
26 (Clayton 1),8034.861149,57.87803164,Clayton,1
27 (Blaisdell 1),5078.333303,36.58108462,Blaisdell,1
28 (Clayton 3),4362.338679,31.42351454,Clayton,3
29 (Wheeler 4),4772.602783,34.37879632,Wheeler,4
30 (Marston 4),5535.189552,39.8719866,Marston,4
31 (Marston 3),4818.48528,34.70930466,Marston,3
32 (Jumpa 3),2191.002244,15.78258726,Jurupa,3
33 (Cahuilla 5),5128.793223,36.9445658,Cahuilla,5
34 (Wheeler 5),5181.262012,37.3225176,Wheeler,5
35 (Clayton 5),3127.453663,22.52818794,Clayton,5
36 (Wheeler 1),4671.529815,33.65073091,Wheeler,1
37 (Wheeler 3),5736.282699,41.32053378,Wheeler,3
blank,19.26891769,0.138801033,NA,NA
10 ppm,3506.25186,25.25680934,NA,NA
50 ppm,165856.6896,1194.72615,NA,NA
100 ppm,352238.898,2537.305089,NA,NA