Location,Replicate,SampleLocation,Intensity,Concentration
Blaisdell,2,110,5177.358048,37.29439593
Blaisdell,4,112,8211.926725,59.15349948
Blaisdell,3,118,6476.973566,46.65599991
Blaisdell,5,119,4927.407912,35.49391405
Blaisdell,1,127,5078.333303,36.58108462
Bryant,2,111,2733.687085,19.69174385
Bryant,5,114,9773.142779,70.39950741
Bryant,1,117,4484.722085,32.30508679
Cahuilla ,1,107,3792.150918,27.3162444
Cahuilla ,3,113,6241.714608,44.96134393
Cahuilla ,4,120,7985.749792,57.52426465
Cahuilla ,2,121,2184.991154,15.73928719
Cahuilla ,5,133,5128.793223,36.9445658
Clayton,1,126,8034.861149,57.87803164
Clayton,3,128,4362.338679,31.42351454
Clayton,5,135,3127.453663,22.52818794
CUC,5,105,1432.313042,10.31747258
CUC,4,109,2611.597388,18.81228729
CUC,1,115,477.9180257,3.442617626
Griffith,5,101,4549.317948,32.77039432
Griffith,1,102,7697.452545,55.44755457
Griffith,4,103,5234.758672,37.70787353
Griffith,3,108,6357.117788,45.79263508
Griffith,2,116,7117.508858,51.27000894
Jumpa,1,104,1542.801099,11.1133583
Jumpa,5,125,1506.009788,10.84833708
Jumpa,3,132,2191.002244,15.78258726
Marston,5,106,7687.284689,55.37431179
Marston,1,123,6102.664386,43.95971453
Marston,2,124,5238.442854,37.73441203
Marston,4,130,5535.189552,39.8719866
Marston,3,131,4818.48528,34.70930466
Mystery,,122,4492.552316,32.36149079
Wheeler,4,129,4772.602783,34.37879632
Wheeler,5,134,5181.262012,37.3225176
Wheeler,1,136,4671.529815,33.65073091
Wheeler,3,137,5736.282699,41.32053378